seed,dimension,epsilon,direct,balanced,coverage,error
241,4,0.217,0.0471168090756,0.0471168090756,0.0762449324484,1.31838984174e-16
242,5,0.413,0.0582512806842,0.0582512806842,0.0582512806842,6.93889390391e-18
243,6,0.071,0.0281254020423,0.0281254020423,0.0281254020423,1.04083408559e-16
244,3,0.217,0.084355004026,0.084355004026,0.084355004026,1.66533453694e-16
245,4,0.413,0.0568249463669,0.0568249463669,0.0568249463669,2.77555756156e-17
246,5,0.071,0.0258833445428,0.0258833445428,0.0258833445428,9.36750677027e-17
247,6,0.217,0.053487771227,0.053487771227,0.053487771227,1.38777878078e-17
248,3,0.413,0.0873497816841,0.0873497816841,0.0873497816841,1.38777878078e-16
249,4,0.071,0.0463462976895,0.0463462976895,0.0463462976895,9.71445146547e-17
250,5,0.217,0.0559342205219,0.0559342205219,0.0559342205219,6.93889390391e-17
251,6,0.413,0.0508279940554,0.0508279940554,0.0773241610639,4.85722573274e-17
252,3,0.071,0.0479680224817,0.0479680224817,0.0479680224817,5.55111512313e-17
253,4,0.217,0.0426481433535,0.0426481433535,0.0426481433535,1.31838984174e-16
254,5,0.413,0.0508256705352,0.0508256705352,0.0806201024718,1.45716771982e-16
255,6,0.071,0.0399772689241,0.0399772689241,0.0399772689241,4.16333634234e-17
256,3,0.217,0.0421714563227,0.0421714563227,0.0421714563227,1.2490009027e-16
257,4,0.413,0.078518171578,0.078518171578,0.078518171578,8.32667268469e-17
258,5,0.071,0.0388241109597,0.0388241109597,0.0388241109597,1.52655665886e-16
259,6,0.217,0.02816126307,0.02816126307,0.02816126307,1.73472347598e-17
260,3,0.413,0.176990103502,0.176990103502,0.176990103502,1.38777878078e-16
261,4,0.071,0.0920228266499,0.0920228266499,0.0920228266499,4.16333634234e-17
262,5,0.217,0.0905781760119,0.0905781760119,0.0905781760119,8.32667268469e-17
263,6,0.413,0.01542969585,0.01542969585,0.01542969585,1.00613961607e-16
264,3,0.071,0.0652071370803,0.0652071370803,0.0652071370803,8.32667268469e-17
265,4,0.217,0.0416946880108,0.0416946880108,0.0416946880108,7.6327832943e-17
266,5,0.413,0.0626415506091,0.0626415506091,0.0928801096102,1.11022302463e-16
267,6,0.071,0.0381715350018,0.0381715350018,0.0381715350018,1.45716771982e-16
268,3,0.217,0.0789096105154,0.0789096105154,0.0789096105154,9.71445146547e-17
269,4,0.413,0.0401532881011,0.0401532881011,0.0401532881011,4.85722573274e-17
270,5,0.071,0.0536737855576,0.0536737855576,0.0536737855576,1.38777878078e-17
271,6,0.217,0.0089960904536,0.0089960904536,0.0089960904536,2.77555756156e-17
272,3,0.413,0.112238603554,0.112238603554,0.112238603554,1.38777878078e-17
273,4,0.071,0.0325863206382,0.0325863206382,0.0325863206382,4.16333634234e-17
274,5,0.217,0.0381634448222,0.0381634448222,0.0381634448222,6.93889390391e-17
275,6,0.413,0.046165571,0.046165571,0.046165571,6.93889390391e-18
276,3,0.071,0.0397197824071,0.0397197824071,0.0397197824071,1.66533453694e-16
277,4,0.217,0.0174558337312,0.0174558337312,0.0174558337312,2.42861286637e-17
278,5,0.413,0.0491702548042,0.0491702548042,0.0881728445873,8.32667268469e-17
279,6,0.071,0.0191360845326,0.0191360845326,0.0191360845326,1.14491749414e-16
